seed,q_hat,coverage,avg_size,median_size,max_size,min_size,size_1_pct,model_acc
42,0.9755179938553789,0.9512,4.5116,4.0,9,1,0.0084,0.6532
43,0.9656756444708217,0.952,4.482,4.0,10,1,0.0044,0.5232
44,0.9675079247269154,0.94,4.0408,4.0,10,1,0.0108,0.6428
45,0.9619330676800862,0.9556,3.7468,4.0,9,1,0.0124,0.6484
46,0.9705175125686689,0.9492,4.3804,4.0,10,1,0.0068,0.5896
47,0.9688258864056245,0.9492,4.5424,4.0,10,1,0.0076,0.5932
48,0.9736415056366949,0.9508,4.5468,4.0,10,1,0.0024,0.6092
49,0.9770295986680112,0.9496,4.3924,4.0,10,1,0.0096,0.6392
50,0.9726199448594983,0.9472,4.4552,4.0,10,1,0.0104,0.6048
51,0.9647790542392058,0.9424,3.7796,4.0,9,1,0.0224,0.636
